t_accept1,t_care1,t_choices1,t_listen1,confident1,capable1
6,5,5,1,4,5
7,5,4,4,7,7
7,7,7,4,5,7
7,4,4,6,4,5
4,2,3,3,5,5
2,1,2,1,1,4
6,4,6,5,6,6
5,3,4,3,4,5
6,3,3,1,3,6
7,6,6,6,6,7
7,4,4,5,3,4
NaN,NaN,NaN,NaN,NaN,NaN
6,6,6,5,5,5
7,7,7,7,7,7
6,6,4,4,4,5
6,6,6,6,5,5
7,7,7,7,4,3
7,4,6,5,5,5
4,1,1,1,3,5
6,4,4,4,6,6
6,4,6,5,3,5
7,7,6,7,6,7
7,5,5,4,4,6
7,7,5,7,7,7
7,6,4,5,3,4
7,7,7,7,5,5
5,5,5,7,5,5
7,7,7,7,4,4
6,4,2,2,5,6
6,6,4,6,6,6
7,6,6,5,5,5
7,4,6,6,5,5
1,2,4,3,3,3
7,7,4,4,4,5
2,4,2,3,3,2
7,7,5,7,6,5
7,7,5,7,7,7
7,7,7,5,5,7
6,7,5,5,4,4
7,6,7,6,5,6
2,2,3,2,5,7
7,2,1,4,1,1
5,5,4,5,4,4
4,1,5,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN
5,5,5,5,5,6
6,4,5,4,7,7
2,3,4,1,4,4
6,6,3,6,5,7
7,6,4,4,6,5
6,4,5,5,5,6
5,4,7,5,5,6
4,4,5,3,3,4
6,6,6,4,7,7
6,4,4,4,4,4
6,4,7,3,5,4
NaN,NaN,NaN,NaN,NaN,NaN
5,3,4,4,4,7
7,7,7,7,7,7
7,7,6,6,7,5
7,7,7,7,4,5
7,7,7,6,4,7
5,5,5,4,4,4
4,4,4,5,7,7
5,4,4,4,5,5
6,6,6,4,6,6
4,4,4,4,5,5
7,6,6,6,6,6
7,7,4,6,7,7
5,5,6,4,6,6
4,2,3,1,5,6
5,5,5,4,4,5
7,7,7,7,5,5
7,6,7,5,6,6
4,3,3,3,3,3
6,NA,5,NA,5,4
7,5,7,6,5,5
7,7,4,6,5,4
6,4,6,2,5,5
5,5,4,4,5,7
6,6,6,7,7,7
5,5,4,4,5,5
1,1,2,1,3,4
7,4,7,7,7,7
7,5,5,7,3,6
7,6,6,4,6,6
5,6,6,7,5,5
5,5,4,5,4,4
7,7,7,7,3,7
6,6,6,4,4,5
2,4,3,2,5,5
5,4,4,4,4,6
6,7,6,6,7,7
7,7,7,7,7,7
4,2,4,2,4,4
3,1,4,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN
4,4,4,5,3,4
7,7,7,7,7,7
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
5,5,6,5,7,7
6,5,4,7,4,4
4,4,5,5,7,7
NaN,NaN,NaN,NaN,NaN,NaN
5,5,4,3,3,6
5,4,4,4,4,5
NaN,NaN,NaN,NaN,NaN,NaN
1,1,4,2,4,7
4,4,4,4,1,2
5,4,4,4,5,6
7,7,7,4,4,4
5,6,6,6,4,5
6,7,5,7,5,4
NaN,NaN,NaN,NaN,NaN,NaN
6,4,6,4,4,5
3,4,4,3,3,4
7,6,6,6,4,5
6,4,4,3,5,5
4,2,3,2,7,7
NaN,NaN,NaN,NaN,NaN,NaN
7,7,7,7,5,7
7,7,5,4,7,7
3,1,4,2,3,3
7,6,4,7,5,5
7,7,7,7,7,7
7,6,5,6,3,5
6,5,5,5,6,6
NaN,NaN,NaN,NaN,NaN,NaN
3,3,6,3,7,7
5,2,4,3,5,6
6,5,5,5,4,5
NaN,NaN,NaN,NaN,NaN,NaN
7,4,4,6,4,4
7,7,7,7,6,7
7,7,7,7,6,6
7,7,6,5,5,6
4,4,4,4,4,4
4,4,4,4,4,4
7,7,7,6,5,7
4,4,4,4,5,6
7,4,7,3,7,7
5,6,4,4,3,4
2,5,1,1,1,3
4,6,4,4,6,6
6,6,6,6,5,6
7,7,7,5,5,6
7,7,6,4,6,6
7,6,3,5,4,7
4,4,4,3,5,7
7,7,7,6,5,6
4,3,3,3,2,3
7,7,7,7,7,7
4,4,7,5,5,6
7,7,7,7,7,7
5,5,6,5,5,5
7,5,7,7,5,5
6,6,6,6,5,6
1,1,3,1,1,3
2,4,4,4,4,4
4,4,4,5,5,6
6,6,6,7,6,5
7,7,7,7,5,5
4,4,4,4,2,2
3,2,3,4,3,2
5,4,5,3,3,5
7,6,6,7,1,1
3,3,3,3,2,3
6,6,4,7,5,6
7,4,5,3,5,6
5,5,5,4,4,4
7,7,6,7,6,7
7,6,7,5,7,7
6,7,6,7,4,4
6,6,6,7,4,5
4,4,5,5,4,3
7,7,7,5,4,4
NaN,NaN,NaN,NaN,NaN,NaN
5,4,4,4,3,4
4,4,4,3,5,5
7,4,6,7,3,7
7,5,6,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN
7,6,6,4,6,5
7,7,7,7,5,7
NaN,NaN,NaN,NaN,NaN,NaN
7,7,7,6,7,7
6,5,5,6,6,5
7,7,6,6,4,6
NaN,NaN,NaN,NaN,NaN,NaN
4,4,4,6,6,6
4,4,7,4,7,7
5,4,4,3,7,7
6,4,5,5,5,7
1,1,1,1,5,7
7,4,2,4,2,2
2,2,2,2,2,4
6,4,7,6,4,7
5,2,6,5,1,3
6,4,6,3,5,5
7,5,7,7,7,7
NaN,NaN,NaN,NaN,NaN,NaN
7,7,4,5,5,7
7,7,7,7,7,7
7,6,6,5,5,6
5,3,6,5,3,6
5,4,5,4,2,5
3,5,6,5,7,7
5,2,5,2,5,6
4,4,4,4,4,4
4,4,4,3,4,3
5,3,4,3,4,4
6,6,5,7,4,7
4,4,2,2,1,5
6,6,5,5,4,5
6,6,4,6,5,5
7,6,6,6,6,7
7,7,7,7,6,6
6,4,4,4,3,6
7,5,6,5,6,7
7,5,5,7,6,7
7,7,4,7,5,7
7,5,3,3,2,2
NaN,NaN,NaN,NaN,NaN,NaN
7,4,4,4,4,5
3,2,1,2,3,5
6,4,4,1,4,3
7,4,7,5,5,7
6,5,4,5,3,2
7,7,7,7,5,6
7,7,5,7,4,6
4,4,5,4,1,4
7,4,7,4,6,7
3,3,2,1,6,6
7,3,3,3,1,4
7,3,7,7,4,4
NaN,NaN,NaN,NaN,NaN,NaN
4,7,5,4,3,5
7,7,5,4,5,6
NA,NA,NA,NA,7,7
3,4,3,2,4,5
7,7,7,7,7,7
7,7,7,7,5,5
6,6,6,5,5,6
6,3,4,4,6,7
6,5,4,6,3,3
7,7,7,6,7,7
2,2,3,2,3,3
7,5,4,6,7,7
6,6,6,6,6,6
7,6,7,7,6,7
